lambdap,lambdad,lambdaf,ARP,AGD,ILS,IPE,HR,NDCG,
10,0.1,0,0.134144529,0.205781155,0.912162463,0.862683743,0.971677528,0.93063059,
10,0.1,10,0.1424906,0.207616441,0.914961574,0.87591581,0.975490155,0.928665058,
10,0.1,100,0.158033153,0.209681126,0.926014529,0.924909072,0.971949989,0.905503221,
10,0.1,1000,0.212324697,0.219316335,0.939166849,0.979982162,0.963779955,0.826500501,
10,0.1,10000,0.324745893,0.25464559,0.901043683,0.913253792,0.929193955,0.657654134,
10,0.1,100000,0.412967696,0.362468449,0.839403072,0.856234364,0.903594665,0.540478204,
10,0.1,1000000,0.536683436,0.526267527,0.822769814,0.863774062,0.783224354,0.33798978,
10,0.1,10000000,0.719377678,0.610690558,0.795903014,0.733513779,0.439542474,0.118882393,
10,1,0,0.136883409,0.074099566,0.977307949,0.979224979,0.927015283,0.726042756,
10,1,10,0.144211641,0.070199576,0.983103581,0.995396838,0.918300495,0.712540094,
10,1,100,0.142019737,0.079605396,0.973360451,0.987874276,0.936546889,0.733599687,
10,1,1000,0.119403947,0.085570071,0.965836313,0.963893458,0.942810533,0.715322802,
10,1,10000,0.22362115,0.119981635,0.969161753,0.996486044,0.919934694,0.589675502,
10,1,100000,0.358847756,0.213581117,0.896055535,0.868251013,0.897875891,0.571948922,
10,1,1000000,0.425919679,0.35535676,0.848805308,0.850942308,0.888344196,0.509074927,
10,1,10000000,0.548863065,0.523055791,0.826992482,0.885498369,0.773692787,0.333021193,
10,10,0,0.133880436,0.023629272,0.992619414,0.972985952,0.836873592,0.58425365,
10,10,10,0.144221241,0.026382211,0.991345439,0.968731906,0.838235305,0.572097741,
10,10,100,0.120174389,0.038999758,0.988976933,0.997683939,0.862472817,0.602016962,
10,10,1000,0.068238528,0.044735027,0.963503695,0.942675497,0.890250612,0.636441411,
10,10,10000,0.022261164,0.050929109,0.939035265,0.884702414,0.885348527,0.563951262,
10,10,100000,0.196754666,0.092452399,0.960764392,0.97851792,0.893790842,0.526410887,
10,10,1000000,0.364974307,0.208763454,0.897748142,0.863705773,0.894063252,0.545239997,
10,10,10000000,0.422527368,0.351686188,0.851245556,0.846895316,0.894607878,0.520194655,
10,100,0,0.14644167,0.002294103,0.984838054,0.951803592,0.836601362,0.571010772,
10,100,10,0.136230751,0.000917641,0.988893211,0.962984358,0.837962908,0.576590331,
10,100,100,0.117439285,0.017205761,0.97100389,0.979288084,0.856481442,0.586312312,
10,100,1000,0.107090837,0.025464539,0.990807147,0.982253025,0.860294095,0.587261653,
